week,location,average_price
17/03/2018,NS(106.99),NS(109.54)
10/03/2018,NS(108.97),99.30(104.74)
03/03/2018,112.20(108.12),99.12(106.32)
24/02/2018,111.99(110.41),99.85(110.20)
17/02/2018,116.67(116.79),103.25(106.49)
10/02/2018,119.08(123.73),104.53(105.59)
03/02/2018,123.78(129.21),108.40(106.14)
27/01/2018,130.46(131.53),112.03(111.18)
20/01/2018,131.26(138.95),120.58(118.20)
14/01/2018,134.16(137.42),126.34(119.67)
07/01/2018,143.37(142.07),132.49(123.86)
28/12/2019,152.94(151.87),134.25(133.51)
21/12/2019,154.19(154.33),138.83(137.02)
